Ano;Mês;Operação;Região;Volume(mil m³)
2019;3;DISPENSADO;NE;1,040092
2019;4;VENDA;N ;8,4594699999999996
2019;6;DISPENSADO;SE;12,527953
2019;6;DISPENSADO;CO;0,93676499999999996
2019;7;DISPENSADO;NE;1,2331889999999999
2019;7;DISPENSADO;N ;1,048743
2019;9;DISPENSADO;SE;15,728143999999999
2019;10;VENDA;CO;13,773793
2019;10;DISPENSADO;NE;0,65694799999999998
2021;2;DISPENSADO;S ;5,7074729999999994
2021;2;DISPENSADO;NE;2,1502349999999999
2021;9;VENDA;N ;11,085156
2021;4;DISPENSADO;SE;16,422317
2021;4;DISPENSADO;CO;1,235303
2021;5;DISPENSADO;S ;6,1399419999999996
2022;4;VENDA;S ;25,666902
2021;11;DISPENSADO;NE;1,952758
2022;3;VENDA;CO;17,645159
2022;3;VENDA;N ;12,192522
2022;4;DISPENSADO;SE;19,807475999999998
2021;10;DISPENSADO;N ;3,349532
2022;6;VENDA;S ;24,642834999999998
2022;6;DISPENSADO;SE;21,314429999999998
2022;7;DISPENSADO;S ;4,0485119999999997
2016;1;VENDA;N ;7,5165199999999999
2016;1;DISPENSADO;SE;9,9073279999999997
2021;7;VENDA;NE;16,054766000000001
2021;1;VENDA;N ;11,445112
2021;1;VENDA;S ;25,198684
2021;1;DISPENSADO;CO;0,73004799999999992
2021;1;DISPENSADO;N ;2,2025539999999997
2021;6;VENDA;S ;26,391596
2021;3;VENDA;N ;12,800732999999999
2016;2;VENDA;S ;18,583634999999997
2016;2;DISPENSADO;S ;2,3109349999999997
2016;2;VENDA;N ;7,0515780000000001
2016;2;DISPENSADO;N ;0,46615999999999996
2016;2;DISPENSADO;NE;0,70728199999999997
2022;1;VENDA;SE;48,361319999999999
2016;4;VENDA;S ;19,349822
2016;4;DISPENSADO;N ;0,48946799999999996
2019;10;VENDA;S ;22,915036000000001
2019;11;DISPENSADO;S ;4,272411
2021;7;VENDA;N ;12,670268999999999
2020;2;DISPENSADO;SE;13,798788
2020;2;DISPENSADO;N ;1,0526609999999998
2016;5;VENDA;SE;52,209939999999996
2020;3;DISPENSADO;NE;1,25282
2020;3;DISPENSADO;N ;1,6725909999999999
2016;5;DISPENSADO;SE;11,620623
2016;5;DISPENSADO;NE;0,73257699999999992
2016;7;DISPENSADO;N ;0,49319299999999999
2020;4;DISPENSADO;S ;2,9378850000000001
2020;4;DISPENSADO;N ;1,76278
2020;4;DISPENSADO;CO;0,86212
2016;8;DISPENSADO;SE;13,108224999999999
